,0
0,5
1,0
2,1
3,5
4,3
5,6
6,1
7,5
8,5
9,3
10,1
11,2
12,4
13,5
14,2
15,2
16,3
17,4
18,5
19,4
20,1
21,3
22,0
23,5
24,5
25,1
26,6
27,6
28,2
29,5
30,0
31,1
32,5
33,4
34,2
35,2
36,5
37,4
38,5
39,2
40,2
41,6
42,5
43,5
44,0
45,5
46,6
47,4
48,0
49,4
50,5
51,2
52,1
53,0
54,5
55,6
56,2
57,1
58,2
59,2
60,5
61,3
62,0
63,1
64,5
65,2
66,5
67,5
68,1
69,6
70,4
71,5
72,1
73,0
74,5
75,1
76,1
77,0
78,2
79,5
80,2
81,2
82,5
83,0
84,2
85,4
86,5
87,1
88,4
89,5
90,2
91,0
92,6
93,2
94,5
95,2
96,6
97,1
98,0
99,2
100,5
101,4
102,5
103,0
104,3
105,3
106,5
107,5
108,0
109,2
110,1
111,5
112,2
113,0
114,0
115,0
116,2
117,0
118,0
119,0
120,1
121,6
122,0
123,0
124,4
125,2
126,2
127,4
128,2
129,5
130,1
131,2
132,4
133,4
134,5
135,1
136,4
137,0
138,1
139,4
140,4
141,2
142,0
143,2
144,5
145,2
146,2
147,4
148,1
149,2
150,1
151,2
152,2
153,0
154,5
155,4
156,5
157,3
158,6
159,5
160,5
161,1
162,1
163,2
164,2
165,5
166,6
167,0
168,4
169,4
170,1
171,5
172,5
173,1
174,1
175,2
176,0
177,6
178,0
179,5
180,5
181,4
182,0
183,1
184,5
185,5
186,0
187,2
188,5
189,5
190,2
191,1
192,5
193,4
194,2
195,6
196,0
197,6
198,2
199,2
200,0
201,5
202,5
203,2
204,5
205,2
206,5
207,1
208,1
209,1
210,3
211,4
212,0
213,3
214,2
215,1
216,3
217,4
218,3
219,2
220,5
221,1
222,5
223,5
224,1
225,0
226,5
227,2
228,2
229,0
230,4
231,5
232,2
233,4
234,2
235,2
236,2
237,3
238,4
239,0
240,1
241,5
242,2
243,2
244,2
245,2
246,5
247,1
248,0
249,2
250,5
251,1
252,2
253,5
254,4
255,5
256,2
257,5
258,0
259,1
260,0
261,1
262,5
263,5
264,5
265,5
266,2
267,1
268,3
269,1
270,2
271,2
272,6
273,5
274,3
275,3
276,2
277,5
278,5
279,5
280,0
281,3
282,0
283,5
284,6
285,5
286,4
287,5
288,4
289,5
290,2
291,0
292,0
293,0
294,2
295,3
296,3
297,6
298,0
299,2
300,5
301,4
302,5
303,1
304,1
305,3
306,5
307,6
308,6
309,0
310,1
311,2
312,5
313,5
314,5
315,1
316,4
317,2
318,2
319,2
320,5
321,5
322,1
323,0
324,1
325,5
326,1
327,2
328,5
329,3
330,5
331,5
332,1
333,3
334,0
335,2
336,1
337,0
338,5
339,6
340,1
341,5
342,2
343,2
344,5
345,3
346,5
347,1
348,5
349,5
350,4
351,2
352,0
353,4
354,6
355,3
356,4
357,5
358,4
359,5
360,0
361,1
362,4
363,5
364,2
365,3
366,6
367,2
368,0
369,1
370,6
371,0
372,1
373,5
374,1
375,4
376,5
377,0
378,5
379,0
380,4
381,3
382,1
383,5
384,5
385,1
386,5
387,5
388,0
389,1
390,2
391,6
392,5
393,0
394,5
395,0
396,1
397,5
398,1
399,2
400,2
401,0
402,1
403,1
404,6
405,5
406,4
407,4
408,0
409,6
410,2
411,2
412,5
413,4
414,5
415,2
416,5
417,1
418,5
419,1
420,2
421,2
422,0
423,4
424,4
425,0
426,0
427,5
428,2
429,0
430,2
431,0
432,3
433,2
434,2
435,2
436,2
437,4
438,0
439,4
440,3
441,5
442,5
443,2
444,4
445,1
446,0
447,1
448,2
449,2
450,1
451,6
452,2
453,6
454,4
455,0
456,5
457,0
458,0
459,6
460,5
461,3
462,2
463,5
464,4
465,5
466,1
467,0
468,0
469,2
470,1
471,1
472,2
473,1
474,4
475,2
476,0
477,5
478,5
479,0
480,5
481,0
482,5
483,0
484,4
485,5
486,3
487,0
488,2
489,4
490,5
491,2
492,2
493,5
494,5
495,1
496,0
497,3
498,1
499,4
500,2
501,1
502,1
503,2
504,4
